feature,semantic_type,n_unique_full,n_unique_sample_after_grouping,missing_pct,cramers_v_sample,chi_square_p_value_sample,top_reliable_category_sample,top_reliable_category_target_rate_sample,top_reliable_category_lift_vs_base_sample
current_loan_delinquency_status,categorical,3,3,0.0,0.4624588379808999,0.0,02,0.6936852026390198,53.311189873887166
loan_payment_history,categorical,26734,53,0.0,0.3836833615014583,0.0,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000000102,0.8685714285714285,66.75156997935972
zip_code_short,categorical,828,527,0.0,0.08762874949551143,1.5843803108559492e-157,826,0.09,6.916692284045497
msa,categorical,399,274,0.0,0.06914167231632798,1.968245915061348e-115,16220,0.09,6.916692284045497
servicer_name,categorical,34,32,0.0,0.0551200224503548,9.121962767847725e-140,"CMC Funding, Inc.",0.05665024630541872,4.353692461221851
seller_name,categorical,24,24,0.0,0.04655589834630467,6.645993408919518e-100,"United Shore Financial Services, LLC dba United Wholesale Mortgage",0.037978142076502734,2.918701358477001
modification_flag,categorical,2,2,0.0,0.04034519502787369,1.7044699400712478e-90,Y,0.06395637084779375,4.915183741760971
property_state,categorical,54,53,0.0,0.03935388978906026,9.238980229466177e-53,VT,0.04106280193236715,3.155764058743249
channel,categorical,3,3,0.0,0.020906127012202274,1.8753098527426617e-24,B,0.016447487591928413,1.2640245613225034
occupancy_status,categorical,3,3,0.0,0.01139082074171493,9.041554320356702e-08,P,0.013449747873455415,1.0336418593187378
first_time_home_buyer_indicator,categorical,2,2,0.0,0.010502963021108114,1.508806810689608e-07,Y,0.015055417752519703,1.1570410200214958
property_type,categorical,5,5,0.0,0.010352867798292018,2.186413081849063e-05,PU,0.014600179694519317,1.1220550026528833
loan_purpose,categorical,3,3,0.0,0.002504088515762091,0.4566639892294586,C,0.013526356503481048,1.0395293962097332
