feature,semantic_type,n_unique_full,n_unique_sample,missing_pct,cramers_v_sample,chi_square_p_value_sample,association_computed_on_sample,top_reliable_target_rate_category_sample,top_reliable_category_target_rate_sample,top_reliable_category_lift_vs_base_sample
current_loan_delinquency_status,categorical,3,3,0.0,0.420439565311248,0.0,True,02,0.5680272108843537,223.63276019069042
zip_code_short,categorical,884,496,0.00027920197316442884,0.05006168683513699,5.230592418773949e-05,True,292,0.0273972602739726,10.786279797217128
modification_flag,categorical,2,2,0.0,0.04784506280808327,1.785351687001241e-126,True,Y,0.07749077490774908,30.508179097539006
msa,categorical,409,254,0.0,0.03760282859510856,3.0024546786269907e-05,True,26820,0.01948051948051948,7.669495858472236
loan_purpose,categorical,3,3,0.0,0.027460755982664797,1.1552871413705265e-41,True,P,0.004668251566889993,1.8378943176732256
first_time_home_buyer_indicator,categorical,2,2,0.0,0.02474438931147332,3.695831329465297e-35,True,Y,0.005702298646812031,2.2449994672488307
servicer_name,categorical,44,44,5.1431942425026374e-05,0.022502801771512593,3.6274067425846953e-10,True,NewRez LLC,0.010554089709762533,4.155153429040367
property_state,categorical,54,53,0.0,0.01844529409576862,0.002591228772358804,True,LA,0.007415254237288136,2.919391432003203
seller_name,categorical,32,32,8.816904415718807e-05,0.018419481838167183,6.753833997412374e-07,True,"Broker Solutions, Inc. dba New American Funding",0.005409582689335394,2.129756964305273
channel,categorical,3,3,0.0,0.012424323622838311,4.169468840501644e-09,True,C,0.003467003346760456,1.3649619475434867
occupancy_status,categorical,3,3,0.0,0.007120793733289666,0.0017674579979584804,True,P,0.0026503244666332072,1.0434348293831524
property_type,categorical,5,5,0.0,0.006785863430445298,0.02137436703345074,True,MH,0.006107717934480844,2.4046133600318282
