feature,eda_recommendation,reason
reference_pool_id,drop,Identifier or row key. It should not be used as a predictive signal.
loan_identifier,drop,Identifier or row key. It should not be used as a predictive signal.
monthly_reporting_period,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
channel,candidate,Usable for modeling after preprocessing and leakage review.
seller_name,candidate,Usable for modeling after preprocessing and leakage review.
servicer_name,candidate,Usable for modeling after preprocessing and leakage review.
original_interest_rate,candidate,Usable for modeling after preprocessing and leakage review.
current_interest_rate,candidate,Usable for modeling after preprocessing and leakage review.
original_upb,candidate,Usable for modeling after preprocessing and leakage review.
upb_at_issuance,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
current_actual_upb,candidate,Usable for modeling after preprocessing and leakage review.
original_loan_term,candidate,Usable for modeling after preprocessing and leakage review.
origination_date,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
first_payment_date,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
loan_age,candidate,Usable for modeling after preprocessing and leakage review.
remaining_months_to_legal_maturity,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
remaining_months_to_maturity,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
maturity_date,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
original_ltv,candidate,Usable for modeling after preprocessing and leakage review.
original_cltv,candidate,Usable for modeling after preprocessing and leakage review.
number_of_borrowers,candidate,Usable for modeling after preprocessing and leakage review.
dti,candidate,Usable for modeling after preprocessing and leakage review.
borrower_credit_score_at_origination,candidate,Usable for modeling after preprocessing and leakage review.
co_borrower_credit_score_at_origination,candidate,Usable for modeling after preprocessing and leakage review.
first_time_home_buyer_indicator,candidate,Usable for modeling after preprocessing and leakage review.
loan_purpose,candidate,Usable for modeling after preprocessing and leakage review.
property_type,candidate,Usable for modeling after preprocessing and leakage review.
number_of_units,candidate,Usable for modeling after preprocessing and leakage review.
occupancy_status,candidate,Usable for modeling after preprocessing and leakage review.
property_state,candidate,Usable for modeling after preprocessing and leakage review.
msa,encode_carefully,High-cardinality categorical field. Avoid unrestricted one-hot encoding.
zip_code_short,encode_carefully,High-cardinality categorical field. Avoid unrestricted one-hot encoding.
mortgage_insurance_percentage,candidate,Usable for modeling after preprocessing and leakage review.
amortization_type,drop,No useful variation.
prepayment_penalty_indicator,drop,No useful variation.
interest_only_loan_indicator,drop,No useful variation.
current_loan_delinquency_status,candidate,Usable for modeling after preprocessing and leakage review.
modification_flag,candidate,Usable for modeling after preprocessing and leakage review.
zero_balance_code,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
zero_balance_effective_date,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
upb_at_time_of_removal,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
repurchase_date,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
scheduled_principal_current,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
total_principal_current,candidate,Usable for modeling after preprocessing and leakage review.
unscheduled_principal_current,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
last_paid_installment_date,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
foreclosure_date,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
disposition_date,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
source_file,drop,Identifier or row key. It should not be used as a predictive signal.
current_dq_num,candidate,Usable for modeling after preprocessing and leakage review.
count_30plus_dq_past_12m,candidate,Usable for modeling after preprocessing and leakage review.
count_60plus_dq_past_12m,candidate,Usable for modeling after preprocessing and leakage review.
max_dq_past_12m,candidate,Usable for modeling after preprocessing and leakage review.
is_current,candidate,Usable for modeling after preprocessing and leakage review.
is_30plus_dq,candidate,Usable for modeling after preprocessing and leakage review.
is_60plus_dq,candidate,Usable for modeling after preprocessing and leakage review.
prior_dq_num,candidate,Usable for modeling after preprocessing and leakage review.
dq_status_change,candidate,Usable for modeling after preprocessing and leakage review.
dq_status_worsened,candidate,Usable for modeling after preprocessing and leakage review.
upb_ratio,candidate,Usable for modeling after preprocessing and leakage review.
paydown_pct,candidate,Usable for modeling after preprocessing and leakage review.
future_serious_dq_6m,target,"Outcome variable, not a predictor."
reporting_year,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
reporting_month,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
reporting_quarter,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
origination_year,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
origination_quarter,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
loan_month_key,drop,Identifier or row key. It should not be used as a predictive signal.
