feature,semantic_type,pearson_r,pearson_abs_r,pearson_p_value,pearson_n,spearman_rho_sample,spearman_abs_rho_sample,spearman_p_value_sample,missing_pct,n_unique
current_dq_num,low_cardinality_numeric,0.3928932250344413,0.3928932250344413,0.0,13610219,0.31564554162455855,0.31564554162455855,0.0,0.0,3
is_60plus_dq,low_cardinality_numeric,0.37489290775466877,0.37489290775466877,0.0,13610219,0.38549376751098363,0.38549376751098363,0.0,0.0,2
is_30plus_dq,low_cardinality_numeric,0.32801407863333665,0.32801407863333665,0.0,13610219,0.3149436398490277,0.3149436398490277,0.0,0.0,2
is_current,low_cardinality_numeric,-0.32801407863333665,0.32801407863333665,0.0,13610219,-0.3149436398490277,0.3149436398490277,0.0,0.0,2
dq_status_worsened,low_cardinality_numeric,0.2755193017928478,0.2755193017928478,0.0,13610219,0.2657193682305908,0.2657193682305908,0.0,0.0,2
count_30plus_dq_past_12m,low_cardinality_numeric,0.272566289392367,0.272566289392367,0.0,13610219,0.1907666419648232,0.1907666419648232,0.0,0.0,13
count_60plus_dq_past_12m,low_cardinality_numeric,0.22870923842704988,0.22870923842704988,0.0,13610219,0.27907147878655947,0.27907147878655947,0.0,0.0,13
max_dq_past_12m,numeric,0.20841251803588323,0.20841251803588323,0.0,13610219,0.19053899530894572,0.19053899530894572,0.0,0.0,34
prior_dq_num,numeric,0.18709138510811996,0.18709138510811996,0.0,13337229,0.264547103604074,0.264547103604074,0.0,2.005772280372564,34
borrower_credit_score_at_origination,numeric,-0.059597523249599944,0.059597523249599944,0.0,13605254,-0.050144822722529056,0.050144822722529056,7.604885485304905e-139,0.036479942020036564,216
dq_status_change,numeric,0.05328329049298238,0.05328329049298238,0.0,13337229,0.14763449293720182,0.14763449293720182,0.0,2.005772280372564,36
co_borrower_credit_score_at_origination,numeric,-0.049366524435377465,0.049366524435377465,0.0,6445958,-0.03887857279609032,0.03887857279609032,9.868656460988308e-41,52.63883703855169,216
current_interest_rate,numeric,0.031215915128067234,0.031215915128067234,0.0,13610219,0.028376571644970653,0.028376571644970653,1.0405532710791708e-45,0.0,1362
original_interest_rate,numeric,0.031213413443189363,0.031213413443189363,0.0,13610219,0.028376560026357082,0.028376560026357082,1.0406395316566699e-45,0.0,1362
original_cltv,numeric,0.030091769075866706,0.030091769075866706,0.0,13610219,0.03340469150327932,0.03340469150327932,1.167013021364305e-62,0.0,107
original_ltv,numeric,0.029618897335131403,0.029618897335131403,0.0,13610219,0.032790576239194,0.032790576239194,1.9245117675419218e-60,0.0,94
dti,numeric,0.023175660221152992,0.023175660221152992,0.0,13609836,0.023226757602629766,0.023226757602629766,3.4699752403046445e-31,0.0028140619926835856,51
remaining_months_to_legal_maturity,date_or_time,0.023083037250273934,0.023083037250273934,0.0,13610219,0.01660757826074494,0.01660757826074494,1.0039251283250649e-16,0.0,393
remaining_months_to_maturity,date_or_time,0.019775144475562004,0.019775144475562004,0.0,13594996,0.01837939160506432,0.01837939160506432,4.098351328933765e-20,0.11184977993373948,360
number_of_borrowers,low_cardinality_numeric,-0.01969242786342023,0.01969242786342023,0.0,13610219,-0.021502217514526925,0.021502217514526925,5.780328606172804e-27,0.0,5
upb_ratio,numeric,0.019597264059535394,0.019597264059535394,0.0,13610219,0.021166473097682218,0.021166473097682218,3.5214428139727746e-26,0.0,3422550
paydown_pct,numeric,-0.01959726405805013,0.01959726405805013,0.0,13610219,-0.02116647309768222,0.02116647309768222,3.5214428139727247e-26,0.0,3421859
original_loan_term,numeric,0.019163642982249787,0.019163642982249787,0.0,13610219,0.018223594374443357,0.018223594374443357,8.04989497043046e-20,0.0,227
mortgage_insurance_percentage,numeric,0.013022252258135563,0.013022252258135563,5.405144807868591e-96,2548430,0.005184832771225679,0.005184832771225679,0.2605827960780703,81.27561356654144,17
total_principal_current,numeric,-0.01054928406376146,0.01054928406376146,0.0,13337229,-0.03713192205997947,0.03713192205997947,1.7770057883171614e-75,2.005772280372564,443746
current_actual_upb,numeric,0.00673381222480104,0.00673381222480104,3.1025810440059024e-136,13610219,0.007645455000924333,0.007645455000924333,0.0001319639355278592,0.0,7503227
original_upb,numeric,0.0033426754702795053,0.0033426754702795053,6.10354820631815e-35,13610219,0.004419802144738885,0.004419802144738885,0.027112046650785145,0.0,893
loan_age,numeric,0.0029409177727637587,0.0029409177727637587,2.0015710824072712e-27,13610219,0.0016528914676340431,0.0016528914676340431,0.40855331245080373,0.0,68
number_of_units,low_cardinality_numeric,0.00023608423114852752,0.00023608423114852752,0.38377457806650783,13610219,0.0017296312077681969,0.0017296312077681969,0.3871420239810842,0.0,4
