feature,min,p01,p05,median,p95,p99,max,missing_pct
original_upb,15000.0,64000.0,97000.0,253000.0,548000.0,745000.0,1582000.0,0.0
current_actual_upb,0.0,50360.728046874996,82270.7546875,232679.09375,521998.378125,699000.0,1582000.0,0.0
original_interest_rate,1.625,1.9900000095367432,2.25,2.875,3.5,3.875,5.625,0.0
current_interest_rate,1.625,1.9900000095367432,2.25,2.875,3.5,3.875,5.625,0.0
borrower_credit_score_at_origination,620.0,645.0,682.0,776.0,813.0,820.0,839.0,0.036479942020036564
co_borrower_credit_score_at_origination,620.0,650.0,689.0,782.0,814.0,821.0,839.0,52.63883703855169
dti,1.0,11.0,16.0,34.0,48.0,50.0,52.0,0.0028140619926835856
original_ltv,4.0,22.0,34.0,70.0,95.0,97.0,97.0,0.0
original_cltv,4.0,22.0,34.0,70.0,95.0,97.0,113.0,0.0
loan_age,-1.0,0.0,2.0,26.0,53.0,56.0,66.0,0.0
remaining_months_to_maturity,1.0,76.0,126.0,318.0,357.0,360.0,360.0,0.11184977993373948
upb_ratio,0.0,0.5357151234149933,0.7454855263233184,0.9373952150344849,0.9950000047683716,1.0,1.2283258438110352,0.0
paydown_pct,-0.22832584381103516,0.0,0.004999995231628418,0.06260478496551514,0.25451447367668145,0.46428487658500694,1.0,0.0
